Indices,Distance,Amplitude,Flag,X,Y,Z,Timestamp
1,1.4462128,293.32956,1,1.2563822,0.71626455,0.0,990347
0,1.6062317,443.36215,1,1.2018347,1.0656329,0.0,990347
7,1.6071777,44.026062,64,1.2025425,-1.0662606,0.0,990556
6,4.454956,41.145702,64,3.8701966,-2.2064023,0.0,990556
5,3.5811005,61.31674,64,3.4094322,-1.0954695,0.0,990556
4,2.6998444,123.04842,1,2.6853607,-0.27928147,0.0,990556
3,1.8646698,254.37036,1,1.8546665,0.19288805,0.0,990556
2,1.3506317,361.89694,1,1.285886,0.41316232,0.0,990556
1,1.2970734,509.03198,9,1.126819,0.64240044,0.0,990556
0,0.6524048,546.97723,9,0.48815045,0.43282923,0.0,990556
7,1.5335083,166.57028,1,1.1474206,-1.0173856,0.0,990765
6,1.4861908,138.29951,1,1.2911128,-0.73606443,0.0,990765
5,4.3005524,39.4917,64,4.0943956,-1.315552,0.0,990765
4,2.6656952,89.34656,1,2.6513946,-0.27574897,0.0,990765
3,1.7418213,379.9665,1,1.732477,0.18018018,0.0,990765
2,1.279541,295.84784,1,1.2182032,0.39141545,0.0,990765
1,0.62467957,215.09665,1,0.54268384,0.30938452,0.0,990765
0,0.6161957,566.2047,9,0.4610576,0.4088068,0.0,990765
7,0.7296448,543.48346,9,0.5459439,-0.48407307,0.0,990974
6,1.3534088,345.8937,1,1.1757598,-0.6703016,0.0,990974
5,1.2056732,162.54646,1,1.1478765,-0.3688191,0.0,990974
4,0.750824,184.35173,1,0.7467961,-0.07766789,0.0,990974
3,0.67533875,467.0509,9,0.6717158,0.06985944,0.0,990974
2,0.30940247,509.84137,9,0.29457054,0.09464715,0.0,990974
1,0.53816223,552.0145,9,0.46752283,0.26653516,0.0,990974
0,0.5787201,569.4822,9,0.43301716,0.38394412,0.0,990974
7,0.7281952,551.3367,9,0.5448593,-0.48311138,0.0,991183
6,0.7028961,521.1269,9,0.6106337,-0.34812278,0.0,991183
5,1.0740967,180.1958,64,1.0226073,-0.3285694,0.0,991183
4,0.7216797,289.80862,1,0.7178081,-0.074653104,0.0,991183
3,0.6004944,524.10486,9,0.59727293,0.062117267,0.0,991183
2,0.3129425,529.5728,9,0.29794088,0.09573006,0.0,991183
1,0.48188782,539.72845,9,0.418635,0.23866417,0.0,991183
0,0.54486084,565.455,9,0.40768257,0.36148065,0.0,991183
7,0.875824,468.51138,1,0.6553199,-0.58105373,0.0,991395
6,1.3341217,400.39642,1,1.1590043,-0.6607493,0.0,991395
5,1.0022888,171.27026,1,0.95424175,-0.30660316,0.0,991395
4,0.70854187,266.68085,1,0.70474076,-0.07329408,0.0,991395
3,0.57144165,474.3712,9,0.56837606,0.05911195,0.0,991395
2,0.37008667,427.2007,1,0.3523457,0.11321063,0.0,991395
1,0.4805603,537.8833,9,0.41748175,0.2380067,0.0,991395
0,0.5211334,545.41003,9,0.38992894,0.345739,0.0,991395
7,0.15875244,533.6089,9,0.118783735,-0.10532219,0.0,991602
6,1.329071,430.79782,1,1.1546166,-0.6582479,0.0,991602
5,0.9371643,195.80156,1,0.89223915,-0.28668138,0.0,991602
4,0.72080994,192.4775,1,0.716943,-0.07456314,0.0,991602
3,0.5804291,386.94162,1,0.5773153,0.060041644,0.0,991602
2,0.43258667,261.73032,1,0.41184962,0.13232957,0.0,991602
1,0.4456787,464.80096,9,0.38717875,0.22073092,0.0,991602
0,0.5346832,477.12018,9,0.40006736,0.35472843,0.0,991602
7,0.22895813,335.42468,1,0.17131391,-0.15189922,0.0,991809
6,1.2055359,328.6153,1,1.0472968,-0.59706473,0.0,991809
5,0.8978119,297.91757,1,0.85477316,-0.27464336,0.0,991809
4,0.7901001,223.64334,1,0.7858615,-0.08173075,0.0,991809
3,0.64193726,310.748,1,0.6384935,0.06640427,0.0,991809
2,0.50549316,215.10228,1,0.48126116,0.15463188,0.0,991809
1,0.4303894,470.64224,9,0.3738963,0.2131586,0.0,991809
0,0.5708008,507.18698,9,0.4270917,0.37869015,0.0,991809
7,0.27822876,335.52783,1,0.20817979,-0.18458715,0.0,992020
6,1.1063538,323.2428,1,0.9611333,-0.5479429,0.0,992020
5,0.8612213,308.73398,1,0.8199367,-0.2634502,0.0,992020
4,0.850235,234.72743,1,0.84567374,-0.087951325,0.0,992020
3,0.7012787,359.0922,1,0.69751656,0.07254276,0.0,992020
2,0.5723114,278.7081,1,0.54487634,0.17507179,0.0,992020
1,0.4216919,496.51343,9,0.36634043,0.20885098,0.0,992020
0,0.6168823,529.1141,9,0.4615714,0.40926233,0.0,992020
7,0.379364,83.8594,1,0.28385246,-0.25168398,0.0,992229
6,1.0791168,247.64343,1,0.9374715,-0.5344533,0.0,992229
5,0.85240173,289.28348,1,0.8115399,-0.26075226,0.0,992229
4,0.90301514,227.65703,1,0.89817077,-0.09341109,0.0,992229
3,0.75105286,345.3904,1,0.7470237,0.07769157,0.0,992229
2,0.6227875,261.62982,1,0.5929327,0.19051257,0.0,992229
1,0.4192505,501.06662,9,0.3642195,0.20764184,0.0,992229
0,0.6576538,537.2306,9,0.49207795,0.43631163,0.0,992229
7,0.41708374,537.67206,1,0.3120756,-0.27670863,0.0,992438
6,1.0233917,316.63513,1,0.8890609,-0.50685436,0.0,992438
5,0.83052063,310.71213,1,0.7907077,-0.25405878,0.0,992438
4,0.9409027,232.6035,1,0.9358551,-0.09733031,0.0,992438
3,0.78718567,347.08926,1,0.7829627,0.08142928,0.0,992438
2,0.6587677,259.7403,1,0.62718815,0.20151903,0.0,992438
1,0.4286499,504.3498,9,0.37238514,0.21229707,0.0,992438
0,0.6848297,539.6865,9,0.51241183,0.4543411,0.0,992438
7,1.2645874,132.56493,1,0.9462054,-0.83897364,0.0,992647
6,1.0417328,149.93839,1,0.9049945,-0.5159381,0.0,992647
5,0.7561798,137.72998,1,0.7199306,-0.23131768,0.0,992647
4,0.83309937,266.23163,1,0.82863003,-0.08617875,0.0,992647
3,0.71180725,454.7567,1,0.7079886,0.07363187,0.0,992647
2,0.6268616,268.54962,1,0.59681153,0.19175884,0.0,992647
1,0.41874695,451.6859,1,0.36378205,0.20739244,0.0,992647
0,0.6473999,504.84982,9,0.48440564,0.4295088,0.0,992647
7,4.379303,27.139002,64,3.2767367,-2.90539,0.0,992856
6,3.6673737,32.91413,64,3.1859927,-1.816337,0.0,992856
5,3.4124756,46.80567,64,3.2488906,-1.0438865,0.0,992856
4,2.756256,79.93687,1,2.7414696,-0.2851169,0.0,992856
3,1.4377747,291.252,1,1.4300615,0.1487285,0.0,992856
2,0.7141876,136.0544,1,0.67995137,0.21847215,0.0,992856
1,0.39512634,524.7414,9,0.3432619,0.1956939,0.0,992856
0,0.6119995,562.1881,9,0.4579179,0.4060229,0.0,992856
7,0.71307373,529.41754,9,0.5335449,-0.47307923,0.0,993063
6,1.6880798,94.9211,1,1.4665018,-0.83605385,0.0,993063
5,2.6901855,83.776794,1,2.5612252,-0.8229359,0.0,993063
4,2.70195,136.14293,1,2.687455,-0.2794993,0.0,993063
3,2.470459,165.00406,1,2.4572058,0.25555304,0.0,993063
2,1.670227,185.91122,1,1.5901608,0.5109275,0.0,993063
1,1.0494232,382.0454,1,0.9116755,0.51974696,0.0,993063
0,0.630188,529.82526,9,0.4715271,0.4180898,0.0,993063
7,3.5181732,51.38581,1,2.6324115,-2.334085,0.0,993274
6,3.035904,69.16778,1,2.63741,-1.5035895,0.0,993274
5,2.677887,87.914474,1,2.5495162,-0.8191737,0.0,993274
4,2.624054,162.36986,1,2.6099768,-0.27144146,0.0,993274
3,2.4352722,209.61131,1,2.4222078,0.2519132,0.0,993274
2,2.3818512,145.98062,1,2.2676716,0.72861546,0.0,993274
1,1.9481506,126.8351,1,1.6924356,0.9648589,0.0,993274
0,1.3972473,362.3139,1,1.0454658,0.9269851,0.0,993274
7,3.5493927,49.342125,1,2.6557708,-2.3547971,0.0,993482
6,3.0455627,67.17334,1,2.6458008,-1.5083733,0.0,993482
5,2.668045,74.84244,1,2.540146,-0.81616306,0.0,993482
4,2.5682678,158.1977,1,2.5544899,-0.26567072,0.0,993482
3,2.4088135,210.79536,1,2.395891,0.2491762,0.0,993482
2,2.37854,140.95712,1,2.2645192,0.7276026,0.0,993482
1,2.0724945,113.995804,1,1.8004581,1.0264426,0.0,993482
0,1.4951172,208.70041,1,1.1186953,0.9919155,0.0,993482
7,3.5896912,47.816597,1,2.6859236,-2.3815327,0.0,993692
6,3.0633545,65.89787,1,2.6612573,-1.517185,0.0,993692
5,2.6654053,63.63144,1,2.537633,-0.81535554,0.0,993692
4,2.5300903,146.04369,1,2.5165172,-0.26172152,0.0,993692
3,2.3933105,194.30632,1,2.3804712,0.24757253,0.0,993692
2,2.3785706,134.45326,1,2.2645483,0.7276119,0.0,993692
1,2.1796265,114.017006,1,1.8935277,1.0795017,0.0,993692
0,1.5481873,197.15604,1,1.158404,1.0271242,0.0,993692
7,3.5814056,53.76467,1,2.679724,-2.3760357,0.0,993901
6,3.05336,70.83234,1,2.6525748,-1.512235,0.0,993901
5,2.6521454,78.935265,1,2.5250087,-0.81129926,0.0,993901
4,2.4942322,153.85017,1,2.4808514,-0.25801224,0.0,993901
3,2.3785858,202.73367,1,2.3658254,0.24604934,0.0,993901
2,2.3790894,134.34203,1,2.265042,0.7277706,0.0,993901
1,2.256195,112.76425,1,1.9600459,1.1174238,0.0,993901
0,1.4579163,256.40756,1,1.0908602,0.9672351,0.0,993901
7,0.67051697,520.6307,9,0.50170255,-0.44484553,0.0,994110
6,2.9512482,69.59324,1,2.5638661,-1.4616622,0.0,994110
5,2.6481476,93.136345,1,2.5212026,-0.81007636,0.0,994110
4,2.4721832,162.5925,1,2.4589207,-0.2557314,0.0,994110
3,2.3666077,209.41028,1,2.3539116,0.24481028,0.0,994110
2,2.3734741,145.20499,1,2.2596962,0.7260529,0.0,994110
1,2.2535248,117.53104,1,1.9577262,1.1161013,0.0,994110
0,1.5147552,242.54578,1,1.1333891,1.0049441,0.0,994110
7,0.71029663,308.30432,1,0.531467,-0.4712368,0.0,994319
6,2.8963623,58.126972,1,2.5161846,-1.4344789,0.0,994319
5,2.68219,82.86852,1,2.553613,-0.82049,0.0,994319
4,2.4887238,145.68686,1,2.4753726,-0.2574424,0.0,994319
3,2.3885345,177.71521,1,2.3757207,0.24707848,0.0,994319
2,2.3295593,141.60826,1,2.2178864,0.71261925,0.0,994319
1,1.5473175,179.04703,1,1.344216,0.76633865,0.0,994319
0,1.468338,381.59576,1,1.0986582,0.9741492,0.0,994319
7,4.1300507,34.586273,1,3.090238,-2.740027,0.0,994528
6,2.9957123,49.28805,1,2.6024938,-1.4836838,0.0,994528
5,2.7658844,68.44182,1,2.6332953,-0.8460924,0.0,994528
4,2.5446625,121.45963,1,2.531011,-0.26322892,0.0,994528
3,2.4115753,160.48245,1,2.398638,0.2494619,0.0,994528
2,1.6918335,179.14462,1,1.6107315,0.517537,0.0,994528
1,1.4351501,324.84863,1,1.2467717,0.71078557,0.0,994528
0,1.3188629,513.8106,9,0.98681605,0.874982,0.0,994528
7,4.708786,28.626638,64,3.5232666,-3.1239812,0.0,994736
6,3.808792,33.982765,1,3.3088484,-1.8863772,0.0,994736
5,2.8808746,55.27103,1,2.7427733,-0.88126826,0.0,994736
4,2.6287994,102.25876,1,2.6146967,-0.27193233,0.0,994736
3,2.3013306,177.24573,1,2.2889848,0.23805779,0.0,994736
2,1.6142426,240.41472,1,1.5368601,0.49380168,0.0,994736
1,1.2883301,468.09827,9,1.1192234,0.63807017,0.0,994736
0,1.1694794,529.8052,9,0.87504244,0.77587545,0.0,994736
7,1.3902435,115.56064,1,1.0402254,-0.9223385,0.0,994946
6,4.6069336,25.36201,64,4.0022254,-2.281672,0.0,994946
5,3.924652,37.50592,64,3.7365148,-1.200563,0.0,994946
4,2.6265411,77.82628,1,2.6124506,-0.27169874,0.0,994946
3,1.550354,264.4945,1,1.5420369,0.16037412,0.0,994946
2,1.504242,320.55722,1,1.4321326,0.46015215,0.0,994946
1,1.1717529,352.65543,1,1.0179482,0.58033305,0.0,994946
0,1.0211334,550.0023,9,0.7640452,0.67745733,0.0,994946
7,0.67315674,543.5135,9,0.5036777,-0.44659683,0.0,995155
6,0.94537354,438.2922,1,0.8212834,-0.46821433,0.0,995155
5,1.4360046,56.908195,64,1.3671664,-0.43927816,0.0,995155
4,1.9580688,63.16307,64,1.9475645,-0.20254959,0.0,995155
3,1.472229,330.21008,1,1.464331,0.1522926,0.0,995155
2,0.65875244,135.1948,1,0.6271736,0.20151436,0.0,995155
1,0.54312134,425.9328,1,0.471831,0.26899123,0.0,995155
0,0.8926239,559.19275,9,0.6678902,0.5921994,0.0,995155
7,0.6837311,509.21234,9,0.51158977,-0.45361224,0.0,995364
6,0.8792114,429.62054,1,0.76380575,-0.4354463,0.0,995364
5,0.6032715,495.18796,9,0.57435226,-0.18454257,0.0,995364
4,0.56507874,258.4846,1,0.56204724,-0.05845375,0.0,995364
3,0.5543518,452.17392,1,0.5513779,0.057344116,0.0,995364
2,0.5730896,495.85556,9,0.5456172,0.17530984,0.0,995364
1,0.49247742,533.2146,9,0.42783463,0.24390887,0.0,995364
0,0.7909546,568.1204,9,0.5918179,0.52474827,0.0,995364
7,0.7623596,186.35335,1,0.57042223,-0.5057773,0.0,995576
6,0.932251,85.145386,1,0.80988336,-0.46171516,0.0,995576
5,1.113266,37.900665,64,1.059899,-0.34055144,0.0,995576
4,1.3531952,48.950394,64,1.3459357,-0.1399793,0.0,995576
3,0.63557434,204.61507,1,0.6321647,0.06574606,0.0,995576
2,0.549881,295.96317,1,0.5235212,0.16821025,0.0,995576
1,0.5012665,545.9862,9,0.43547004,0.24826182,0.0,995576
0,0.7116852,550.502,9,0.532506,0.472158,0.0,995576
7,4.3597717,15.356693,64,3.2621229,-2.8924322,0.0,995782
6,3.4184875,23.76301,64,2.9697754,-1.6930714,0.0,995782
5,3.094757,33.500046,64,2.9464028,-0.94669557,0.0,995782
4,2.8274078,54.56079,1,2.8122396,-0.2924771,0.0,995782
3,1.5905151,148.53886,1,1.5819825,0.16452852,0.0,995782
2,1.1815948,188.13162,1,1.1249523,0.36145344,0.0,995782
1,0.58551025,163.55365,1,0.50865597,0.28998518,0.0,995782
0,0.67874146,539.47595,9,0.50785637,0.45030195,0.0,995782
7,1.1553497,25.987476,1,0.8644702,-0.76650137,0.0,995991
6,3.414917,27.677317,1,2.9666736,-1.691303,0.0,995991
5,3.028946,39.52048,1,2.8837464,-0.9265637,0.0,995991
4,2.7938385,68.299835,1,2.7788506,-0.28900456,0.0,995991
3,2.4014282,89.39938,1,2.3885453,0.24841225,0.0,995991
2,1.2667847,124.2164,1,1.2060584,0.38751325,0.0,995991
1,0.6859436,249.72469,1,0.5959064,0.33972672,0.0,995991
0,0.688385,508.29352,9,0.515072,0.45669985,0.0,995991
7,1.2083893,23.926638,1,0.9041561,-0.80168974,0.0,996200
6,3.3839722,28.170666,1,2.9397905,-1.675977,0.0,996200
5,3.0150757,41.144325,1,2.870541,-0.9223208,0.0,996200
4,2.7662354,70.82945,1,2.7513955,-0.2861492,0.0,996200
3,2.4225006,90.83864,1,2.4095047,0.25059205,0.0,996200
2,1.3676605,105.50194,1,1.3020985,0.4183715,0.0,996200
1,0.7875519,202.49088,1,0.6841775,0.39005014,0.0,996200
0,0.730011,420.65167,1,0.5462179,0.48431602,0.0,996200
7,3.7586975,21.682362,1,2.8123796,-2.4936576,0.0,996409
6,3.4022675,28.313618,1,2.9556844,-1.6850381,0.0,996409
5,2.9983673,39.651505,1,2.8546336,-0.9172096,0.0,996409
4,2.7513885,69.22293,1,2.7366283,-0.2846134,0.0,996409
3,2.434784,89.8683,1,2.4217222,0.25186267,0.0,996409
2,1.4345398,116.45498,1,1.3657718,0.43883005,0.0,996409
1,0.8593292,211.13596,1,0.74653333,0.42559925,0.0,996409
0,0.76226807,419.26797,1,0.57035375,0.50571656,0.0,996409
